count	reward_sum	squared_reward_sum	length
261	-54.2449205031009	10016.514975415368	282
262	-13.2876216751568	10025.667276194556	430
263	-35.22236677683087	10027.743204682862	243
264	86.6832872406016	10068.833328981942	768
265	-7.521519407243545	10032.628784612396	632
266	0.22356483679379835	10035.04082200698	701
267	-72.13973591769299	10010.150406193512	154
268	97.24796305887268	57.56226529921611	2000
269	-83.19545670328694	10010.101916469122	185
270	10.068049715452858	10036.543561623583	582
271	-7.855616124446215	10030.338698155689	474
272	1.934225856526723	10041.199096827051	362
273	-48.36801608336319	10019.137179811278	315
274	-92.11316732223172	10011.986852155022	222
275	18.26025624506873	10038.100013235133	675
276	-2.990666249921219	10027.42200208886	615
277	136.3569328361381	64.82801710031237	2000
278	-49.57684423800319	23.48128269759679	2000
279	-15.711639141356244	10027.292660638088	396
280	-63.4958467313793	10013.062854973075	252
281	-43.63003103056163	10022.932342068414	231
282	-64.2502984249864	10012.645831669608	232
283	-60.457058514251074	10016.786877175433	192
284	14.102524015587406	10043.9793881282	543
285	-9.769263745312301	10033.38367950673	393
286	-7.854333448525111	10038.544459319273	826
287	-52.32630822938323	10015.353320766653	304
288	-51.16873665815972	10015.995203536851	316
289	-80.82722944552634	10004.760928443662	162
290	-81.86730105111116	10009.209111245666	130
291	-77.73759984721963	10005.784227592376	186
292	-71.92986842079709	10008.972389090624	243
293	-78.31385189721075	10013.500152122162	349
294	-87.75449177449147	10004.488332730032	136
295	-97.3104405533165	10005.965052688096	138
296	18.397588839698955	10041.132295679954	559
297	110.58931347808688	52.415135286222764	2000
298	-40.460708214601404	10022.648313968199	266
299	-77.65531766309716	10007.403019247206	146
300	-21.07250465368743	10029.82387653448	391
301	-37.818247367315855	10023.966510894004	371
302	-39.633790603894525	10023.65548178776	243
303	-90.06254756750756	10004.244936930558	167
304	139.97406321852347	10081.37102696785	997
305	1.3530929183472722	10034.888313567517	395
306	19.925117591492793	10043.112741322218	492
307	-90.24783511067294	10004.688725263437	154
308	-26.77963551417828	10033.793753789738	215
309	-88.14890371347039	10003.715323815919	158
310	-7.669315332257213	10037.470128866402	323
311	-87.95232250064493	10013.820334329992	156
312	36.21485419034224	10051.098573612642	505
313	-84.60175911420174	10035.216464505163	292
314	59.81860310352778	10065.01789311265	643
315	-15.589987864351286	10022.116914583268	461
316	-93.14067759309147	16.41457273284319	2000
317	-24.611861476338987	10019.190722382615	594
318	-6.550537516283157	10034.286528261578	357
319	-69.34424304606503	10011.623240232031	226
320	30.461498110660475	35.98268456370387	2000
321	-60.188526467252835	10012.040729766308	222
322	-54.50547444924358	10014.091931100149	217
323	60.10587958553331	39.258264819958235	2000
324	-83.85530436169546	10005.203180018862	175
325	-5.09848915072557	10039.026162411965	339
326	-88.5543205685733	10004.356242030692	160
327	-80.48605460631232	10013.471402803914	366
328	5.249473471088066	10043.461877396263	326
329	99.34447431850452	10054.12426916848	1047
330	-72.5318785273533	10010.017604541268	215
331	-72.41399686984467	10010.165392051906	125
332	23.569798202623247	10036.112851514874	595
333	-32.50549028640884	10033.444215499288	479
334	-73.89289069185715	10008.93022205486	165
335	18.51883776657195	10049.587261159377	387
336	-59.69561680108588	10014.022098860325	224
337	27.374609656004424	10040.238679475062	547
338	95.62421335633476	10069.933360174407	755
339	-80.6861403929448	10005.251359704029	136
340	47.08870497262458	46.05324717207829	2000
341	-46.452371858581515	10018.496605383394	256
342	-78.25529282841765	10031.297314153157	386
343	-68.42452537052071	10009.068239360828	179
344	-40.510858965283376	10024.193941742751	219
345	-101.72547540753409	14.711726931997088	2000
346	-21.457366434279947	10031.34076389533	291
347	6.492398479795341	10033.008807127524	554
348	4.207555163309678	10043.095058538614	349
349	303.847530484501	95.01354835256276	1319
350	-3.896579888430182	10031.271289177217	412
351	-48.578882181075954	10022.067870922618	192
352	-75.44533418797857	10010.49556422394	189
353	106.42451695663414	10069.162287655705	920
354	-57.51723225360166	10019.944726123555	257
355	117.49584788322542	10074.639171818406	868
356	150.47082938394325	10087.469213261882	992
357	10.702689784876853	10037.867427875812	506
358	-35.484704799929446	10018.53073961049	355
359	-129.15399925269938	10022.286757321075	1168
360	75.01421954330101	10065.057562601754	623
361	-9.268800087201285	10023.753139222374	515
362	98.63370272836832	10080.466303028354	646
363	61.33239923482654	10048.410652438972	761
364	-67.78889870682588	10011.124242610087	198
365	108.03296229120059	10079.994984348148	705
